id,pkg,func
959,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.Style).Bold
1025,shared,(*go/types.PkgName).Parent
1155,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.Style).UnsetAlign
43,golang.org/x/term,golang.org/x/term.Restore
237,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.Style).UnsetBorderBottom
264,shared,(*github.com/charmbracelet/lipgloss.Style).UnsetBorderBottomBackground
404,crypto/tls,(crypto/tls.SignatureScheme).String
529,go/types,(*go/types.Info).ObjectOf
533,time,(time.Time).Local
785,shared,(*math/big.nat).String
1271,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.Style).GetVerticalFrameSize
63,strings,strings.SplitN
250,shared,(*github.com/charmbracelet/lipgloss.Style).UnsetBorderStyle
273,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.Style).GetBorderRightForeground
344,shared,(*go/types.TypeName).sameId
564,encoding/csv,encoding/csv.NewWriter
748,shared,(*math/big.nat).trunc
801,go/types,(go/types.VarKind).String
1396,shared,(*github.com/muesli/termenv.Style).Bold
86,github.com/picatz/taint/callgraphutil,github.com/picatz/taint/callgraphutil.init
584,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.Style).GetHorizontalFrameSize
1055,net/http,(net/http.Header).Get
1515,golang.org/x/tools/go/ssa,(*golang.org/x/tools/go/ssa.Function).Type
75,os,os.init
191,shared,(*github.com/charmbracelet/lipgloss.Style).maybeConvertTabs
277,go/types,(*go/types.object).Id
363,shared,(golang.org/x/tools/go/ssa.Instruction).Operands
480,shared,(*github.com/muesli/termenv.Output).DisableBracketedPaste
713,database/sql,(*database/sql.DB).Query
1139,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.Style).GetMarginTop
1243,shared,(*github.com/charmbracelet/lipgloss.Style).BorderStyle
31,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.Style).BorderLeft
85,shared,(*go/types.TypeName).Parent
1004,shared,(*github.com/charmbracelet/lipgloss.Style).UnsetUnderlineSpaces
1067,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.AdaptiveColor).RGBA
660,os/signal,os/signal.NotifyContext
838,golang.org/x/tools/go/callgraph,(*golang.org/x/tools/go/callgraph.Node).String
972,time,(time.Duration).format
1218,shared,(*github.com/charmbracelet/lipgloss.Style).GetUnderlineSpaces
33,go/types,(*go/types.object).setType
385,shared,(*math/big.nat).bitLen
1204,github.com/picatz/taint/cmd/taint,github.com/picatz/taint/cmd/taint.main
1402,golang.org/x/tools/go/ssa,(golang.org/x/tools/go/ssa.BuilderMode).Get
1519,golang.org/x/tools/go/ssa,(*golang.org/x/tools/go/ssa.FreeVar).Referrers
2,go/types,(*go/types.object).setOrder
272,shared,(*github.com/charmbracelet/lipgloss.Style).GetBorderRightForeground
1179,shared,(*go/token.Pos).IsValid
44,shared,(*go/types.Builtin).Type
137,golang.org/x/tools/go/callgraph,(*golang.org/x/tools/go/callgraph.Graph).CreateNode
218,github.com/picatz/taint/callgraphutil,(github.com/picatz/taint/callgraphutil.Paths).Longest
619,shared,(*golang.org/x/tools/go/ssa.FieldAddr).Referrers
667,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.Style).Reverse
771,golang.org/x/tools/go/ssa,(*golang.org/x/tools/go/ssa.register).Pos
1054,shared,(*net/http.Header).Get
1375,shared,(*time.Time).Location
220,math/big,(math/big.nat).itoa
586,crypto/x509,(crypto/x509.KeyUsage).String
1556,shared,(*go/types.Builtin).Pkg
58,github.com/picatz/taint/cmd/taint,github.com/picatz/taint/cmd/taint.init$2$2
89,io,io.init
258,shared,(*go/types.PkgName).cmp
259,go/types,(*go/types.object).cmp
285,github.com/picatz/taint/callgraphutil,(github.com/picatz/taint/callgraphutil.Path).Last
298,net/http,(net/http.Header).sortedKeyValues
413,shared,(*github.com/charmbracelet/lipgloss.Style).BorderTopBackground
645,shared,(*go/types.Label).Name
136,golang.org/x/tools/go/ssa,(*golang.org/x/tools/go/ssa.Program).NewFunction
874,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.Style).UnsetBold
924,github.com/picatz/taint,github.com/picatz/taint.checkSSAInstruction
939,math/big,(math/big.nat).expNNWindowed
946,github.com/picatz/taint/cmd/taint/example,github.com/picatz/taint/cmd/taint/example.main
971,shared,(*time.Duration).format
1336,shared,(*math/big.nat).divRecursiveStep
1498,shared,(*time.Time).UnixMilli
64,github.com/picatz/taint/cmd/taint,github.com/picatz/taint/cmd/taint.semanticColorFunc
1040,github.com/muesli/termenv,(github.com/muesli/termenv.Output).SetWindowTitle
1300,shared,(*github.com/charmbracelet/lipgloss.Style).BorderRight
1309,net,(net.IPMask).Size
1500,shared,(*go/types.Var).setParent
105,shared,(*github.com/muesli/termenv.Output).CursorBack
128,shared,(go/types.Type).Underlying
337,math/big,(math/big.nat).divLarge
502,net,(net.IP).IsLoopback
639,shared,(*github.com/muesli/termenv.Profile).String
901,shared,(*net.IP).matchAddrFamily
1510,go/types,(go/types.termlist).supersetOf
1534,shared,(*github.com/charmbracelet/lipgloss.Style).UnsetMarginBackground
518,shared,(go/types.Checker).PkgNameOf
977,github.com/picatz/taint/callgraphutil,github.com/picatz/taint/callgraphutil.PathSearchCallTo
1268,shared,(*github.com/charmbracelet/lipgloss.Style).GetHorizontalPadding
1346,shared,(*time.Time).Day
263,github.com/muesli/termenv,(github.com/muesli/termenv.Style).Width
280,shared,(*go/types.Func).order
296,time,(time.absYday).split
508,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.Style).GetBlink
599,shared,(*github.com/charmbracelet/lipgloss.Style).UnsetBorderTopBackgroundColor
739,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.Style).UnsetMaxWidth
852,shared,(*go/types.PkgName).setParent
1110,shared,(*math/big.nat).setBit
202,github.com/muesli/termenv,(github.com/muesli/termenv.Output).EnableMouseCellMotion
229,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.Style).getAsInt
974,time,(time.Time).Weekday
985,shared,(*github.com/charmbracelet/lipgloss.Style).GetPadding
1215,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.Style).GetBorderLeftForeground
1239,shared,(*math/big.nat).expWW
1348,shared,(*net/url.Values).Encode
1361,math/big,(math/big.nat).setWord
511,math/big,(math/big.nat).utoa
1083,github.com/muesli/termenv,(github.com/muesli/termenv.Output).DisableMousePress
1238,net/http,(net/http.Header).Del
1383,shared,(*github.com/charmbracelet/lipgloss.Style).AlignHorizontal
1503,shared,(*github.com/charmbracelet/lipgloss.Style).String
316,fmt,fmt.Fprintf
322,github.com/charmbracelet/lipgloss,github.com/charmbracelet/lipgloss.init
356,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.Style).UnsetMarginBottom
816,go/types,(go/types.termlist).union
1048,shared,(*github.com/charmbracelet/lipgloss.Style).UnsetBlink
1064,go/types,(go/types.substMap).lookup
1241,shared,(*time.Time).After
1413,shared,(*go/types.Label).setParent
21,github.com/muesli/termenv,(github.com/muesli/termenv.Output).EnableMousePixelsMode
196,crypto/x509/pkix,(crypto/x509/pkix.Name).ToRDNSequence
410,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.Style).getAsBool
783,shared,(*github.com/charmbracelet/lipgloss.Style).UnsetBorderRightForeground
809,shared,(*github.com/charmbracelet/lipgloss.Style).getAsTransform
1429,shared,(*golang.org/x/tools/go/ssa.Call).setType
494,github.com/muesli/termenv,(github.com/muesli/termenv.Output).ClearLineRight
712,github.com/picatz/taint/cmd/taint/example,github.com/picatz/taint/cmd/taint/example.handle
